foo,bar,baz,high,low
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120101,52,41
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120102,50,33
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120103,33,15
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120104,27,13
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120105,40,27
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120106,53,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120107,62,46
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120108,46,33
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120109,41,31
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120110,47,33
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120111,48,37
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120112,45,41
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120113,50,28
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120114,32,27
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120115,27,15
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120116,37,15
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120117,53,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120118,54,24
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120119,37,20
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120120,36,24
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120121,29,22
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120122,34,18
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120123,53,34
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120124,53,42
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120125,44,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120126,40,33
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120127,59,40
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120128,46,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120129,44,34
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120130,40,34
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120131,59,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120201,62,48
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120202,50,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120203,44,30
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120204,46,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120205,40,32
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120206,51,33
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120207,49,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120208,38,31
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120209,46,31
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120210,45,34
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120211,38,32
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120212,32,20
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120213,44,28
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120214,47,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120215,46,39
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120216,44,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120217,50,41
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120218,48,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120219,44,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120220,46,31
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120221,46,32
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120222,57,43
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120223,58,46
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120224,46,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120225,45,33
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120226,45,29
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120227,59,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120228,50,40
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120229,42,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120301,41,37
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120302,42,33
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120303,56,42
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120304,45,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120305,44,28
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120306,44,25
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120307,62,37
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120308,71,53
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120309,64,37
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120310,43,29
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120311,61,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120312,71,47
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120313,74,54
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120314,70,50
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120315,52,43
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120316,51,43
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120317,62,45
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120318,64,46
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120319,74,55
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120320,73,55
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120321,67,57
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120322,78,56
